87.251.64.11 - - [13/Mar/2023:01:57:45 -0400] "-" 400 2244
188.166.70.200 - - [13/Mar/2023:08:55:13 -0400] "GET / HTTP/1.0" 200 11266
95.214.54.4 - - [13/Mar/2023:14:49:38 -0400] "CONNECT google.com:443 HTTP/1.1" 400 1160
185.224.128.17 - - [13/Mar/2023:14:52:46 -0400] "-" 400 2244
185.224.128.17 - - [13/Mar/2023:14:52:46 -0400] "-" 400 2244
185.224.128.17 - - [13/Mar/2023:14:52:46 -0400] "CONNECT example.com:80 HTTP/1.1" 400 1160
139.162.7.59 - - [13/Mar/2023:20:35:47 -0400] "GET / HTTP/1.0" 200 11266
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET / HTTP/1.1" 200 11286
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /base.jsa HTTP/1.1" 404 1082
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET / HTTP/1.1" 200 11286
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /Portal/Portal.mwsl HTTP/1.1" 404 1096
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /.git/HEAD HTTP/1.1" 404 1087
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /docs/cplugError.html/ HTTP/1.1" 404 1103
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /admin.cfm HTTP/1.1" 404 1083
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "-" 400 2244
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /nmaplowercheck1678754577 HTTP/1.1" 404 1098
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /inicio.html HTTP/1.1" 404 1085
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /server-status HTTP/1.1" 404 1087
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /OnYF HTTP/1.1" 404 1078
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /pools/default/buckets HTTP/1.1" 404 1103
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /HNAP1 HTTP/1.1" 404 1079
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /home.aspx HTTP/1.1" 404 1083
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /pools HTTP/1.1" 404 1079
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /Portal0000.htm HTTP/1.1" 404 1088
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET / HTTP/1.1" 200 11286
139.162.7.59 - - [13/Mar/2023:20:35:48 -0400] "GET /home.php HTTP/1.1" 404 1082
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 11286
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "GET /__Additional HTTP/1.1" 404 1086
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "POST /sdk HTTP/1.1" 404 1077
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "GET /indice.jsa HTTP/1.1" 404 1084
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "HEAD / HTTP/1.1" 200 -
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 200 11286
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "GET /CSS/Miniweb.css HTTP/1.1" 404 1093
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "GET /menu.jsp HTTP/1.1" 404 1082
139.162.7.59 - - [13/Mar/2023:20:35:49 -0400] "GET /base.cgi HTTP/1.1" 404 1082
